item_id,numero,indice,family_key,subject_label,emetteur_code,emetteur_name,primary_actor,actor_to_call,action_bucket,action_label,plain_reason,recommended_action,risk_level,evidence_summary,days_open,days_late,current_state,normalized_score_100,is_internal_moex_exposure,is_external_attackable,chain_observations_summary,chain_observations_full,chain_observations_refs,consultant_reports_summary,consultant_reports_full,consultant_reports_refs,consultant_reports_available
045622__A,045622,A,045622,Bentin — LUMINAIRE TYPE P3.pdf,BEN,Bentin,ARCHITECTE,ARCHITECTE,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de ARCHITECTE depuis 2 jours.,Relancer ARCHITECTE; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,9.04194821703352,False,True,A 0-SAS VSO-SAS; A BET Electricité VAO,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""A"", ""reviewer"": ""BET Electricité"", ""status"": ""VAO"", ""comment"": ""-         Indiquer la localisation,-         Indiquer UGR (doit être conforme à la norme pour les locaux concernés),-         Sous réserve de validation de la NDC d’éclairement,-         Sous réserve de validation du MOA, de l’architecte et d’acceptation de l’échantillon.""}]","[""A"", ""A""]",,[],[],False
047300__A,047300,A,047300,Bentin — DM.pdf,BEN,Bentin,BET Electricité,BET Electricité,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET Electricité depuis 2 jours.,Relancer BET Electricité; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,8.854619656118285,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
047301__A,047301,A,047301,Bentin — BAAL.pdf,BEN,Bentin,BET Electricité,BET Electricité,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET Electricité depuis 2 jours.,Relancer BET Electricité; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,8.854619656118285,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
047303__A,047303,A,047303,Bentin — BAASL.pdf,BEN,Bentin,BET Electricité,BET Electricité,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET Electricité depuis 2 jours.,Relancer BET Electricité; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,8.854619656118285,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
047304__A,047304,A,047304,Bentin — PANNEAU ENTREE INTERDITE.pdf,BEN,Bentin,BET Electricité,BET Electricité,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET Electricité depuis 2 jours.,Relancer BET Electricité; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,8.854619656118285,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
047305__A,047305,A,047305,Bentin — SYSTÈME DAD AUTONOME.pdf,BEN,Bentin,BET Electricité,BET Electricité,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET Electricité depuis 2 jours.,Relancer BET Electricité; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,32,2,OPEN_WAITING_MIXED_CONSULTANTS,8.854619656118285,False,True,A 0-SAS VSO-SAS,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""A""]",,[],[],False
023792__A,023792,A,023792,SEPA — Carnet de détails clôtures et plots béton.pdf,SPA,SEPA,BET EV,BET EV,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de BET EV depuis 3 jours.,Relancer BET EV; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,38,3,OPEN_WAITING_MIXED_CONSULTANTS,21.397604870542587,False,True,A 0-SAS VSO-SAS; A ARCHITECTE REF,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": ""SAS : VAO, DET (détail) et non PLNancien visa SAS annulé pour avancer car non pris en compte par ENT.""}, {""indice"": ""A"", ""reviewer"": ""ARCHITECTE"", ""status"": ""REF"", ""comment"": ""MOX_260402_VISA 62-04_DET_PARE-VUES_iA_sous réserve de validation de la synthèse architecturale._sous réserve de prise en compte des observations en annexes.""}]","[""A"", ""A""]",,[],[],False
045641__A,045641,A,045641,Bentin — BA EAS INFRA.pdf,BEN,Bentin,ARCHITECTE,ARCHITECTE,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de ARCHITECTE depuis 5 jours.,Relancer ARCHITECTE; escalader si pas de réponse sous 5 jours.,LOW,Active chain currently under controlled pressure. | Current blocker sits with multiple consultant review flows.,35,5,OPEN_WAITING_MIXED_CONSULTANTS,9.04194821703352,False,True,A 0-SAS VSO-SAS; A BET Electricité VAO,"[{""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""A"", ""reviewer"": ""BET Electricité"", ""status"": ""VAO"", ""comment"": ""-         Privilégier minimum IP55 et non pas IP42, -         Sous réserve de validation de l’échantillon.""}]","[""A"", ""A""]",,[],[],False
049342__D,049342,D,049342,Axima — Principe de régulation INFRA.pdf,AXI,Axima,Contractor Quality,Contractor Quality,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de Contractor Quality depuis 5 jours.,Relancer Contractor Quality; escalader si pas de réponse sous 5 jours.,HIGH,Active chain showing moderate pressure and follow-up need. | Current blocker sits with secondary consultant review flow.,275,5,OPEN_WAITING_SECONDARY_CONSULTANT,67.93782475859146,False,True,E 0-SAS VSO-SAS; D 0-SAS VSO-SAS; C 0-SAS VSO-SAS,"[{""indice"": ""E"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""D"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""C"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""C"", ""reviewer"": ""AMO HQE"", ""status"": ""VAO"", ""comment"": ""Sous réserve de validation du BET CVC""}, {""indice"": ""B"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""B"", ""reviewer"": ""BET CVC"", ""status"": ""VAO"", ""comment"": ""Schéma production EGSur le DRY, il manque les électrovannes sur l’arrivée d’eau et sur l’auto-vidange.Folio UTL 01 Folio 6/29 Revoir température boucle DRY 53°C/43°C.il manque les électrovannes sur l’arrivée d’eau et sur l’auto-vidange.Folio UTL 01 Folio 7/29 Revoir température boucle DRY 53°C/43°CFolio UTL 06 Folio 19/29 Il manque le registre de rejet sur la CTA.Le capteur de température N°6 est le capteur de température « après roue » et non pas en gaine.Température EG batterie 9/14°C.Folio UTL 07 Folio 21/29 Le capteur de température N°5 est le capteur de température « après échangeur » et non pas en gaine.""}, {""indice"": ""B"", ""reviewer"": ""Bureau de Contrôle"", ""status"": ""FAV"", ""comment"": """"}, {""indice"": ""B"", ""reviewer"": ""AMO HQE"", ""status"": ""VAO"", ""comment"": ""Sous réserve de validation du BET CVC""}, {""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""E"", ""D"", ""C"", ""C"", ""B"", ""B"", ""B"", ""B"", ""A""]",,[],[],False
149342__D,149342,D,149342,Axima — Principe de régulation BUREAUX.pdf,AXI,Axima,Contractor Quality,Contractor Quality,CONSULTANT_A_ATTAQUER,Consultant à attaquer,En attente de Contractor Quality depuis 5 jours.,Relancer Contractor Quality; escalader si pas de réponse sous 5 jours.,HIGH,Active chain with elevated operational pressure requiring near-term attention. | Current blocker sits with secondary consultant review flow.,275,5,OPEN_WAITING_SECONDARY_CONSULTANT,71.43462456234249,False,True,E 0-SAS VSO-SAS; D 0-SAS VSO-SAS; C 0-SAS VSO-SAS,"[{""indice"": ""E"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""D"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""C"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""C"", ""reviewer"": ""AMO HQE"", ""status"": ""VAO"", ""comment"": ""Sous réserve de validation du BET CVC""}, {""indice"": ""B"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}, {""indice"": ""B"", ""reviewer"": ""AMO HQE"", ""status"": ""VAO"", ""comment"": ""Sous réserve de validation du BET CVC""}, {""indice"": ""B"", ""reviewer"": ""BET CVC"", ""status"": ""VAO"", ""comment"": ""NOTASchéma régulation Auberge Folio 7/31 et 11/31, il manque la régulation départ DEG 02 et DEG 03.Régulation BureauxGénéralitésIntégrer les derniers indices des principes aérauliques.Vannes 2 voies ventilo-convecteurs 24V 0-10VPrendre en compte les CCF sur les folios. Quid des variateurs de vitesse ventilateurs CTA, pompes etc. ?Débits à mettre à jour.Folio 4/33Equipements en façade d’armoire. Prévoir commutateurs 3 positions avec marche en manuel. (Valable aussi pour 049342 INFRA et 249342 AUBERGE visés précédemment).Quid du coup de poing d’arrêt d’urgence en façade ? Folio 6/33Faire apparaître les variateurs de vitesse des moteurs.Il manque le registre motorisé de rejet (voir FT CTA).Le capteur de température N°6 est le capteur de température « après échangeur » et non pas en gaine.Régime de température batterie EG 9/14°C.Le repère 12 est le détecteur de fumée et non pas la centrale qui elle, est dans l’armoire électrique.Débits indiqués dans la centrale et le local à harmoniser.Quid des CCF ?Folio 7/33Il manque le départ DEG 06 (Energy-valve).Folio 9/33Faire apparaître les variateurs de vitesse des moteurs.Il manque le registre motorisé de rejet (voir FT CTA).Le capteur de température N°6 est le capteur de température « après échangeur » et non pas en gaine.Régime de température batterie EG 9/14°C.Le repère 12 est le détecteur de fumée et non pas la centrale qui elle, est dans l’armoire électrique.Débits indiqués dans la centrale et le local à harmoniser.Quid des CCF ?Folio 10/33   Il manque le départ DEG 07 Totem (Energy-valve).Folio 12/33Faire apparaître les variateurs de vitesse des moteurs.Le capteur de température N°6 est le capteur de température « après roue » et non pas en gaine.Régimes de températures batteries EC/EG à indiquer.Débits indiqués dans la centrale et le local à harmoniser.Folio 14/33Il manque le registre d’isolement au rejet ( F.T.)Le capteur de température N°6 est le capteur de température « après roue » et non pas en gaine.Folio 16/33Représenter interrupteurs de proximité.Folio 18/33Clarifier la présence de variateurs de vitesse dans la légende (extracteurs 1 vitesse).Folio 19/33Quid du retour de marche RAC ?Folios 23/33Clarifier principe détection condensation plafonds par sonde Hr murale ou sonde de condensation sur clarinette V6V.Folios 25/33Dans la légende les Vannes 2 voies ventilo-convecteurs à mettre en 24V /0-10V.Clarifier localisation sonde CO² en gaine VC ou murale.Folio 26/33Dans la légende les Vannes 2 voies ventilo-convecteurs à mettre en 24V /0-10V.Folio 27/33Dans la légende les Vannes 2 voies ventilo-convecteurs à mettre en 24V /0-10V.Folio 31/33 Quid de la détection CO/NO ?Dans le tableau récapitulatif, indiquer les débits du schéma de principe désenfumage.""}, {""indice"": ""A"", ""reviewer"": ""0-SAS"", ""status"": ""VSO-SAS"", ""comment"": """"}]","[""E"", ""D"", ""C"", ""C"", ""B"", ""B"", ""B"", ""A""]",,[],[],False
