module,depends_on,purpose
src/reporting/focus_filter.py,src/reporting/data_loader,Focus mode filter engine
src/reporting/focus_ownership.py,pandas,Six-rule ownership classifier
src/reporting/consultant_fiche.py,"src/reporting/data_loader, src/reporting/focus_filter",build_consultant_fiche + build_sas_fiche
src/reporting/contractor_fiche.py,src/reporting/data_loader,build_contractor_fiche
src/reporting/ui_adapter.py,(none),Flatten aggregator output -> window globals shape
src/reporting/document_command_center.py,"src/reporting/data_loader, src/reporting/focus_filter, src/reporting/focus_ownership, src/reporting/chain_timeline_attribution","Document Command Center backend: search_documents + build_document_command_center; sole source of tag computation and panel payload"
src/reporting/chain_timeline_attribution.py,"pandas, output/chain_onion/*.csv","Per-chain timing + delay attribution; reads CHAIN_EVENTS/CHAIN_REGISTER/CHAIN_VERSIONS; writes output/intermediate/CHAIN_TIMELINE_ATTRIBUTION.{json,csv}"
src/reporting/bet_report_merger.py,(retired),Pre-Step 8 module; not imported any more (commented out in data_loader)
src/chain_onion/source_loader.py,"pandas, src/effective_responses",Step 04
src/chain_onion/family_grouper.py,pandas,Steps 05
src/chain_onion/chain_builder.py,pandas,Step 06
src/chain_onion/chain_classifier.py,pandas,Step 07
src/chain_onion/chain_metrics.py,pandas,Step 08
src/chain_onion/onion_engine.py,pandas,Step 09
src/chain_onion/onion_scoring.py,pandas,Step 10
src/chain_onion/narrative_engine.py,pandas,Step 11
src/chain_onion/exporter.py,"pandas, openpyxl",Step 12
src/chain_onion/query_hooks.py,pandas,Step 13 (read-only queries; consumed by app.py for Focus narrowing)
src/chain_onion/validation_harness.py,pandas,Step 14 (40 acceptance checks)
src/chain_onion/chain_models.py,(dataclasses),Type definitions
ui/jansa-connected.html,"(CDN React, Babel; ui/jansa/* scripts)",Production HTML host
ui/jansa/data_bridge.js,window.pywebview.api,Bridge to backend; populates window.OVERVIEW/CONSULTANTS/CONTRACTORS/FICHE_DATA
ui/jansa/tokens.js,(none),JANSA design tokens (fonts/theme)
ui/jansa/shell.jsx,"data_bridge, tokens, all other JSX",App root; sidebar/topbar/router
ui/jansa/overview.jsx,"window.OVERVIEW, jansaBridge.api.export_team_version, open_file_in_explorer",Dashboard
ui/jansa/consultants.jsx,window.CONSULTANTS,Consultants list (3-tier)
ui/jansa/fiche_base.jsx,(visual base),Fiche layout primitives + DrilldownDrawer
ui/jansa/fiche_page.jsx,"window.FICHE_DATA, jansaBridge.api.get_doc_details, export_drilldown_xlsx, export_team_version, open_file_in_explorer",Consultant fiche wrapper
ui/jansa/runs.jsx,"jansaBridge.api.get_all_runs, export_run_bundle",Run history page
ui/jansa/executer.jsx,"jansaBridge.api.get_app_state, validate_inputs, run_pipeline_async, get_pipeline_status, select_file",Pipeline launcher
ui/jansa/contractors.jsx,"window.CONTRACTORS_LIST, window.CONTRACTORS",Contractors page — enriched cards (≥5 docs) + plain chips; no fiche drill-down yet
ui/jansa/document_panel.jsx,"jansaBridge.searchDocuments, jansaBridge.loadDocumentCommandCenter, window.JANSA_FONTS","Document Command Center drawer — search mode + doc mode (7 sections); triggered via window.openDocumentCommandCenter(numero, indice)"
