artifact,producer_stage,producer_module,consumer,format,notes
debug/lifecycle_resolution.xlsx,stage_diagnosis,debug_writer,(none),xlsx,Lifecycle decisions
debug/missing_in_ged_summary.xlsx,stage_diagnosis,debug_writer,(none),xlsx,Aggregate
debug/missing_in_gf_summary.xlsx,stage_diagnosis,debug_writer,(none),xlsx,Aggregate
debug/new_submittal_summary.xlsx,stage_diagnosis,debug_writer,(none),xlsx,Aggregate
debug/reconciliation_summary.xlsx,stage_discrepancy,reconciliation_engine.write_reconciliation_outputs,(none),xlsx,Aggregate
debug/routing_summary.xlsx,stage_route,routing.write_routing_summary,(none),xlsx,Per-doc routing decision
chain_onion/CHAIN_REGISTER.csv,run_chain_onion (Step 05+07),family_grouper + chain_classifier,chain_onion.query_hooks + app._build_live_operational_numeros,csv,One row per family
chain_onion/CHAIN_VERSIONS.csv,run_chain_onion (Step 05),family_grouper.build_chain_versions,query_hooks + validation_harness,csv,All document versions
chain_onion/CHAIN_EVENTS.csv,run_chain_onion (Step 06),chain_builder.build_chain_events,validation_harness,csv,Full event timeline
chain_onion/CHAIN_METRICS.csv,run_chain_onion (Step 08),chain_metrics.build_chain_metrics,query_hooks + validation_harness,csv,Pressure / staleness
chain_onion/ONION_LAYERS.csv,run_chain_onion (Step 09),onion_engine.build_onion_layers,query_hooks + validation_harness,csv,Per-layer evidence
chain_onion/ONION_SCORES.csv,run_chain_onion (Step 10),onion_scoring.build_onion_scores,query_hooks + app._build_live_operational_numeros,csv,Chain-level scores + ranks
chain_onion/CHAIN_NARRATIVES.csv,run_chain_onion (Step 11),narrative_engine.build_chain_narratives,query_hooks,csv,Management summaries
chain_onion/CHAIN_ONION_SUMMARY.xlsx,run_chain_onion (Step 12),exporter.export_chain_onion_outputs,(manual),xlsx,11-sheet management workbook
chain_onion/dashboard_summary.json,run_chain_onion (Step 12),exporter,query_hooks.get_dashboard_summary,json,Portfolio KPI snapshot
chain_onion/top_issues.json,run_chain_onion (Step 12),exporter,query_hooks.get_top_issues,json,Top 20 priority chains
data/run_memory.db,stage_init_run + stage_finalize_run + run_orchestrator,run_memory.*,app.Api.* + data_loader + run_explorer,sqlite,Run / artifact registry
data/report_memory.db,stage_report_memory,report_memory.*,stage_report_memory + chain_onion.source_loader,sqlite,Persistent consultant truth
runs/run_NNNN/*,stage_finalize_run,run_memory.copy_artifact_to_run_dir,run_explorer.export_run_bundle,many,Immutable per-run snapshot
output/exports/run_N_bundle.zip,app.Api.export_run_bundle,run_explorer.export_run_bundle,user (Explorer),zip,Per-run ZIP
